hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
104064,312249,2,6,1295.8633,31,2,154.3,75,1,1
106793,312250,2,7,3995.3333,76,2,172.3,58.4,1,1
104039,312251,2,7,3105.7915,64,1,169.7,58.6,1,1
104039,312252,2,7,3105.7915,26,2,153.9,70.90000000000001,1,1
103956,312253,2,8,3327.373,15,2,156.2,55.6,1,1
104039,312254,2,7,3105.7915,57,2,159.2,93.2,1,1
104062,312255,2,3,1010.3106,52,1,171.5,70.7,1,1
104062,312256,2,3,1010.3106,54,2,155.6,60.6,1,1
104032,312257,2,4,2525.9194,75,1,79,33.4,1,1
104156,312258,2,13,7358.2803,65,,,,1,1
104471,312259,2,6,7924.3203,41,1,171.5,76,1,1
104471,312260,2,6,7924.3203,66,2,159.8,82.59999999999999,1,1
104471,312261,2,6,7924.3203,44,2,152,51.9,1,1
104473,312262,2,5,1694.4468,15,2,154,61.7,1,1
104474,312263,2,8,1647.733,38,2,157.6,79.09999999999999,1,1
104472,312264,2,2,2070,69,1,153.5,67.09999999999999,1,1
104472,312265,2,2,2070,40,2,176.3,72.7,1,1
104473,312266,2,5,1694.4468,52,1,174.7,55.8,1,1
104474,312267,2,8,1647.733,37,2,156.4,89.3,1,1
104474,312268,2,8,1647.733,16,2,153.6,44.5,1,1
104482,312269,2,9,2743.3274,18,2,157,70.3,1,1
104478,312270,2,4,1334.1877,19,2,151,53.1,1,1
104478,312271,2,4,1334.1877,15,2,169,80,1,1
104479,312272,2,8,1351.0701,19,1,172,55.5,1,1
104473,312273,2,5,1694.4468,44,2,150,72.09999999999999,1,1
104480,312274,2,9,4473.8301,65,2,141,34,1,1
104479,312275,2,8,1351.0701,15,2,155,52,1,1
104479,312276,2,8,1351.0701,70,2,-8,-8,1,1
104477,312277,2,2,2398.9836,73,1,159,46.3,1,1
104477,312278,2,2,2398.9836,82,2,146,71.09999999999999,1,1
